text,sentiment
This project is frustrating,negative
I hate this situation,negative
I have a meeting today,neutral
This project makes me happy,positive
I love learning machine learning,positive
I love learning machine learning,positive
I am feeling very sad,negative
I have a meeting today,neutral
This project makes me happy,positive
This is an amazing experience,positive
I feel confident,positive
Today is a bad day,negative
This is an amazing experience,positive
This project is frustrating,negative
It is an average experience,neutral
This project is frustrating,negative
I feel excited and motivated,positive
Life is beautiful,positive
Life feels difficult,negative
It is an average experience,neutral
I am very happy today,positive
Today is a bad day,negative
Everything is going great,positive
I am working on my project,neutral
I have a meeting today,neutral
I am going to college,neutral
Life feels difficult,negative
I am working on my project,neutral
Life is beautiful,positive
Life is beautiful,positive
This is a terrible experience,negative
I hate this situation,negative
I am reading a book,neutral
I am going to college,neutral
This project is frustrating,negative
I have a meeting today,neutral
I feel anxious,negative
This project is frustrating,negative
Everything is going wrong,negative
Nothing special happened,neutral
Life is beautiful,positive
I am disappointed with the results,negative
I have a meeting today,neutral
I have a meeting today,neutral
Nothing special happened,neutral
This project is frustrating,negative
The weather is normal,neutral
I am working on my project,neutral
This project is frustrating,negative
This project makes me happy,positive
It is an average experience,neutral
This is fine,neutral
Everything is going wrong,negative
I feel excited and motivated,positive
I am learning new concepts,neutral
Life feels difficult,negative
Nothing special happened,neutral
The weather is normal,neutral
I am feeling very sad,negative
I am satisfied with my work,positive
Life feels difficult,negative
It is an average experience,neutral
I am working on my project,neutral
This is fine,neutral
Nothing special happened,neutral
I am satisfied with my work,positive
I feel confident,positive
I am learning new concepts,neutral
I am satisfied with my work,positive
I feel excited and motivated,positive
This is fine,neutral
I am very happy today,positive
This project is frustrating,negative
I am very happy today,positive
I love learning machine learning,positive
I am feeling very sad,negative
Life feels difficult,negative
I am satisfied with my work,positive
Everything is going great,positive
Today is a wonderful day,positive
This project is frustrating,negative
I feel stressed and tired,negative
I feel confident,positive
This project makes me happy,positive
I am very happy today,positive
I feel anxious,negative
This is a terrible experience,negative
I am working on my project,neutral
I am satisfied with my work,positive
I feel confident,positive
Today is a bad day,negative
This project is frustrating,negative
Life feels difficult,negative
It is an average experience,neutral
I feel confident,positive
I am reading a book,neutral
Life is beautiful,positive
Today is a wonderful day,positive
I am working on my project,neutral
This is a terrible experience,negative
Everything is going great,positive
I feel confident,positive
Everything is going wrong,negative
I love learning machine learning,positive
Today is a wonderful day,positive
Nothing special happened,neutral
I love learning machine learning,positive
Everything is going wrong,negative
I am working on my project,neutral
I am satisfied with my work,positive
I am satisfied with my work,positive
I am satisfied with my work,positive
I am learning new concepts,neutral
I feel confident,positive
This project is frustrating,negative
I am disappointed with the results,negative
I am satisfied with my work,positive
Life is beautiful,positive
I hate this situation,negative
Life is beautiful,positive
I am reading a book,neutral
Everything is going great,positive
I feel confident,positive
I feel stressed and tired,negative
I am reading a book,neutral
I am learning new concepts,neutral
I am feeling very sad,negative
Everything is going wrong,negative
Everything is going great,positive
I am going to college,neutral
I am satisfied with my work,positive
Nothing special happened,neutral
This project makes me happy,positive
Everything is going wrong,negative
I am going to college,neutral
I feel confident,positive
Life is beautiful,positive
This project makes me happy,positive
I hate this situation,negative
This project makes me happy,positive
I feel confident,positive
